class,precision,recall,f1_score,support
 <=50K, 0.64,0.24,0.35,3921
  >50K, 0.80,0.96,0.87,6179
 <=50K, 0.65,0.25,0.36,1961
,,,   0.79,8140
  >50K, 0.80,0.96,0.87,4119
 <=50K, 0.67,0.25,0.36,1307
,,,   0.79,5426
  >50K, 0.80,0.96,0.87,3089
 <=50K, 0.66,0.25,0.36, 981
,,,   0.79,4070
  >50K, 0.80,0.96,0.88,2471
 <=50K, 0.69,0.25,0.37, 785
,,,   0.79,3256
  >50K, 0.80,0.96,0.87,2059
 <=50K, 0.68,0.24,0.36, 654
,,,   0.79,2713
  >50K, 0.80,0.96,0.87,1765
 <=50K, 0.66,0.23,0.35, 560
,,,   0.79,2325
  >50K, 0.80,0.96,0.87,1544
 <=50K, 0.67,0.23,0.35, 491
,,,   0.79,2035
